,School District Code,PROGRAM_TOTAL,PROGRAM_PERCENT
0,601,18.666666666666668,1.9916666666666665
1,605,23.9,1.9000000000000004
2,606,16.8,1.9700000000000002
3,607,46.625,2.829166666666667
4,608,35.916666666666664,2.4166666666666665
5,609,14.555555555555555,1.7555555555555558
6,610,23.4,6.993333333333334
7,611,61.22641509433962,4.394339622641509
8,612,10.5,6.225
9,613,24.333333333333332,2.433333333333333
10,614,18.2,7.4
11,615,21.85,1.9300000000000002
12,616,35.88,2.744
13,617,31.083333333333332,2.966666666666667
14,618,27.0,2.8833333333333333
15,620,26.8125,1.36875
16,622,28.46153846153846,2.3384615384615386
17,623,29.142857142857142,2.385714285714286
18,625,39.96825396825397,3.753968253968254
19,626,15.857142857142858,4.707142857142857
20,627,17.46153846153846,10.692307692307692
21,628,61.56363636363636,2.641818181818183
22,629,37.392857142857146,5.7892857142857155
23,631,98.9423076923077,6.400961538461539
24,633,70.59016393442623,3.9054644808743197
25,634,35.95238095238095,3.619047619047619
26,635,45.34615384615385,6.630769230769232
27,636,29.838709677419356,1.5838709677419356
28,637,16.3125,3.0437499999999993
29,638,53.38461538461539,2.587179487179488
30,639,18.5,3.9666666666666672
31,640,31.5,3.4777777777777774
32,641,13.0,2.38
33,643,23.05263157894737,5.921052631578948
34,644,82.20220588235294,6.508823529411771
35,645,13.428571428571429,4.457142857142857
36,647,45.125,3.252499999999999
37,648,48.292307692307695,4.75076923076923
38,651,36.52,2.428
39,652,12.5,1.3
40,653,24.285714285714285,3.1857142857142855
41,654,16.636363636363637,10.490909090909092
42,655,12.8,1.49
43,656,23.607142857142858,1.1857142857142857
44,657,16.6,0.42000000000000004
45,658,35.19512195121951,1.2707317073170732
46,659,24.2,2.46
47,660,72.05555555555556,6.717901234567901
48,661,18.8,1.73
49,663,24.0,1.5416666666666667
50,664,24.916666666666668,1.9000000000000001
51,665,25.571428571428573,2.757142857142857
52,666,13.8,2.74
53,667,92.77731092436974,7.236974789915963
54,668,25.65,2.8999999999999995
55,669,40.87755102040816,4.673469387755102
56,672,14.5,1.125
57,673,13.777777777777779,1.7000000000000002
58,674,19.363636363636363,3.8818181818181814
59,675,44.47863247863248,3.4094017094017084
60,676,38.924528301886795,3.8943396226415086
61,678,14.222222222222221,0.8
62,679,13.75,2.1
63,680,20.416666666666668,2.6833333333333336
64,681,11.0,1.375
65,684,30.77777777777778,3.0500000000000003
66,685,17.307692307692307,2.6999999999999997
67,686,11.857142857142858,2.1857142857142855
68,687,23.36842105263158,2.5157894736842104
69,688,28.842105263157894,2.694736842105263
70,689,34.12,2.696
71,690,12.75,3.7624999999999997
72,691,19.9375,2.7875
73,692,28.22222222222222,1.5333333333333334
74,693,18.75,1.925
75,694,11.5,2.1666666666666665
76,695,15.4,1.2
77,697,24.875,2.85
78,698,18.8,4.869999999999999
79,699,16.7,3.47
80,700,11.0,3.316666666666667
81,701,13.0,1.4333333333333333
82,702,21.285714285714285,2.157142857142857
83,704,12.625,1.6625
84,705,14.8,0.56
85,706,53.31578947368421,3.791228070175439
86,707,56.15,3.125
87,708,12.75,0.6749999999999999
88,710,40.66,2.1300000000000003
89,711,32.5,3.7285714285714286
90,713,34.666666666666664,3.783333333333333
91,714,14.285714285714286,1.2142857142857142
92,715,42.13333333333333,8.096666666666666
93,716,16.4,4.529999999999999
94,719,11.0,1.5
95,720,15.0,5.170000000000001
96,721,55.134328358208954,5.716417910447761
97,722,42.89855072463768,4.747826086956521
98,724,14.5,1.866666666666667
99,725,10.0,1.4
100,726,27.785714285714285,6.464285714285715
101,727,11.5,1.0333333333333334
102,729,17.8,1.9300000000000002
103,732,13.0,1.2125
104,733,15.583333333333334,4.6
105,734,13.444444444444445,7.422222222222223
106,735,10.75,2.3750000000000004
107,736,14.6,0.72
108,737,38.25,3.2699999999999987
109,738,13.8,1.7599999999999998
110,741,35.5,3.0866666666666673
111,745,24.642857142857142,2.192857142857143
112,746,36.21739130434783,3.152173913043478
113,747,32.0,2.1964285714285707
114,748,17.083333333333332,1.1916666666666667
115,750,13.666666666666666,1.3166666666666667
116,751,18.625,1.9875000000000003
117,754,17.714285714285715,2.2571428571428567
118,755,48.35897435897436,11.356410256410257
119,757,14.333333333333334,2.733333333333333
120,759,26.555555555555557,10.222222222222221
121,761,73.94964028776978,7.939568345323734
122,764,12.125,1.2375
123,766,19.41176470588235,3.005882352941176
124,767,15.25,1.2625
125,772,50.93333333333333,8.7
126,774,20.1,10.600000000000003
127,776,45.333333333333336,3.5277777777777772
128,781,64.04166666666667,7.566666666666666
129,7820108,682.5454545454545,39.64545454545455
130,7820119,404.1666666666667,31.275000000000002
131,7820120,347.25,9.049999999999999
132,7820412,139.36363636363637,11.445454545454545
133,7820613,297.0833333333333,31.13333333333334
134,7820618,213.0,37.53636363636364
135,784,11.0,2.15
136,785,25.285714285714285,1.657142857142857
137,789,27.166666666666668,4.025
138,792,42.57142857142857,2.0142857142857147
139,891,49.351351351351354,27.837837837837846
